iter	Passed	Remaining
620	40348	24625
621	40405	24555
622	40461	24484
623	40506	24407
624	40559	24335
625	40604	24258
626	40655	24185
627	40700	24109
628	40761	24042
629	40815	23970
630	40883	23908
631	40941	23839
632	41009	23776
633	41074	23711
634	41136	23645
635	41223	23593
636	41282	23525
637	41341	23457
638	41408	23393
639	41483	23334
640	41547	23269
641	41612	23204
642	41686	23144
643	41737	23072
644	41787	22999
645	41846	22931
646	41918	22870
647	41975	22801
648	42048	22741
649	42120	22680
650	42187	22616
651	42240	22545
652	42294	22474
653	42351	22406
654	42410	22338
655	42470	22271
656	42530	22204
657	42584	22133
658	42642	22065
659	42709	22001
660	42781	21940
661	42850	21878
662	42913	21812
663	42972	21745
664	43047	21685
665	43120	21625
666	43191	21563
667	43249	21495
668	43316	21431
669	43368	21360
670	43438	21298
671	43496	21230
672	43550	21160
673	43595	21086
674	43657	21020
675	43733	20961
676	43822	20907
677	43870	20835
678	43927	20767
679	43979	20696
680	44032	20626
681	44087	20556
682	44133	20483
683	44185	20413
684	44241	20344
685	44286	20271
686	44341	20202
687	44391	20131
688	44441	20060
689	44492	19989
690	44542	19918
691	44592	19847
692	44645	19778
693	44699	19709
694	44760	19643
695	44839	19585
696	44888	19514
697	44947	19447
698	44995	19375
699	45049	19306
700	45102	19237
701	45150	19166
702	45196	19094
703	45244	19023
704	45295	18953
705	45359	18889
706	45429	18827
707	45504	18767
708	45562	18700
709	45624	18635
710	45670	18563
711	45728	18496
712	45781	18428
713	45842	18362
714	45908	18299
715	45968	18233
716	46028	18167
717	46082	18099
718	46135	18030
719	46184	17960
720	46243	17894
721	46300	17827
722	46347	17756
723	46399	17688
724	46449	17618
725	46505	17551
726	46551	17480
727	46602	17411
728	46647	17340
729	46706	17274
730	46756	17205
731	46816	17140
732	46862	17070
733	46917	17002
734	46967	16933
735	47025	16867
736	47072	16797
737	47128	16731
738	47174	16661
739	47232	16595
740	47285	16527
741	47335	16459
742	47386	16390
743	47440	16323
744	47501	16259
745	47602	16207
746	47663	16143
747	47714	16074
748	47761	16005
749	47819	15939
750	47870	15871
751	47917	15802
752	47979	15738
753	48031	15670
754	48093	15606
755	48139	15537
756	48193	15470
757	48240	15401
758	48300	15336
759	48349	15268
760	48399	15200
761	48440	15129
762	48499	15064
763	48538	14993
764	48597	14928
765	48644	14859
766	48697	14793
767	48745	14725
768	48798	14658
769	48848	14591
770	48902	14524
771	48950	14457
772	49002	14390
773	49050	14322
774	49104	14256
775	49163	14191
776	49214	14124
777	49262	14056
778	49312	13989
779	49367	13924
780	49429	13860
781	49482	13794
782	49528	13726
783	49582	13660
784	49623	13591
785	49678	13525
786	49729	13459
787	49777	13391
788	49823	13324
789	49878	13258
790	49919	13189
791	49998	13130
792	50056	13066
793	50099	12998
794	50148	12931
795	50198	12864
796	50239	12796
797	50285	12728
798	50331	12661
799	50389	12597
800	50440	12531
801	50500	12467
802	50547	12400
803	50602	12335
804	50655	12270
805	50704	12204
806	50755	12138
807	50805	12072
808	50856	12006
809	50905	11940
810	50960	11876
811	51012	11810
812	51079	11748
813	51154	11688
814	51209	11624
815	51295	11566
816	51356	11503
817	51454	11448
818	51541	11390
819	51616	11330
820	51686	11269
821	51777	11212
822	51853	11151
823	51928	11091
824	51998	11029
825	52064	10967
826	52130	10905
827	52207	10845
828	52283	10784
829	52351	10722
830	52418	10660
831	52487	10598
832	52544	10534
833	52604	10470
834	52675	10408
835	52743	10346
836	52809	10284
837	52874	10221
838	52954	10161
839	53016	10098
840	53082	10035
841	53159	9975
842	53224	9912
843	53282	9848
844	53340	9784
845	53394	9719
846	53496	9663
847	53581	9604
848	53649	9541
849	53707	9477
850	53766	9413
851	53830	9350
852	53906	9289
853	53961	9225
854	54018	9161
855	54071	9096
856	54123	9031
857	54190	8968
858	54253	8905
859	54338	8845
860	54400	8782
861	54459	8718
862	54509	8653
863	54578	8591
864	54647	8528
865	54710	8465
